molecule,smiles,Erel_eV,
hc_c28h16_0pent_26,c1ccc2c(c1)ccc1c2cc2ccc3cccc4c5ccccc5c1c2c34,0.318,
hc_c28h16_0pent_27,c1cc2ccc3cc4c5ccccc5c5ccccc5c4c4ccc(c1)c2c34,0.309,
hc_c28h16_0pent_28,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3cccc4ccc2c1c34,0.104,
hc_c28h16_0pent_29,c1ccc2cc3c(ccc4c3cc3ccc5cccc6ccc4c3c56)cc2c1,0.24,
hc_c28h16_0pent_3,c1ccc2c(c1)ccc1c3cccc4ccc5cc6ccccc6c(c21)c5c43,0.579,
hc_c28h16_0pent_30,c1ccc2c(c1)ccc1ccc3c(cc4ccc5cccc6ccc3c4c56)c12,0.354,
hc_c28h16_0pent_31,c1ccc2c(c1)cc1c3c4ccccc4ccc3c3cccc4ccc2c1c43,0.363,
hc_c28h16_0pent_32,c1ccc2c(c1)cc1c3ccc4ccccc4c3c3cccc4ccc2c1c43,0.381,
hc_c28h16_0pent_33,c1ccc2c(c1)cc1c3ccccc3c3c4ccccc4cc4ccc2c1c43,0.506,
hc_c28h16_0pent_34,c1ccc2c(c1)ccc1cc3c4ccccc4c4cccc5ccc(c12)c3c54,0.279,
hc_c28h16_0pent_35,c1ccc2c(c1)ccc1c2cc2c3ccccc3c3cccc4ccc1c2c43,0.035,
hc_c28h16_0pent_36,c1ccc2c(c1)cc1ccc3c4c(ccc5ccccc54)cc4ccc2c1c43,0.489,
hc_c28h16_0pent_37,c1ccc2c(c1)ccc1c2cc2ccc3c4ccccc4cc4ccc1c2c43,0.239,
hc_c28h16_0pent_38,c1ccc2c(c1)cc1ccc3cc4ccc5ccccc5c4c4ccc2c1c34,0.402,
hc_c28h16_0pent_39,c1ccc2c(c1)ccc1c2cc2ccc3cc4ccccc4c4ccc1c2c34,0.148,
hc_c28h16_0pent_4,c1ccc2c(c1)cc1ccc3cc4ccccc4c4c5ccccc5c2c1c34,0.851,
hc_c28h16_0pent_40,c1ccc2c(c1)cc1c3ccccc3c3cc4ccccc4c4ccc2c1c43,0.108,
hc_c28h16_0pent_44,c1ccc2c(c1)cc1cccc3c4cc5cccc6cccc(c4cc2c13)c65,1.098,
hc_c28h16_0pent_45,c1ccc2c(c1)cc1cc3c(cc4cccc5cccc3c54)c3cccc2c13,0.763,
hc_c28h16_0pent_46,c1ccc2c(c1)cc1c3cc4cccc5cccc(c3cc3cccc2c31)c54,0.801,
hc_c28h16_0pent_47,c1ccc2c(c1)cc1cccc3cc4c5cccc6cccc(cc4c2c13)c65,1.185,
hc_c28h16_0pent_5,c1ccc2c(c1)ccc1cc3ccc4cccc5c6ccccc6c(c12)c3c45,0.481,
hc_c28h16_0pent_54,c1ccc2c(c1)ccc1cc3cccc4c5cccc6cccc(c65)c(c12)c34,0.875,
hc_c28h16_0pent_55,c1ccc2cc3c(cc2c1)cc1cccc2c4cccc5cccc(c54)c3c12,1.081,
hc_c28h16_0pent_56,c1ccc2c(c1)ccc1c2cc2cccc3c4cccc5cccc(c54)c1c23,0.681,
hc_c28h16_0pent_57,c1ccc2c(c1)cc1cc3ccccc3c3c4cccc5cccc(c54)c2c13,1.482,
hc_c28h16_0pent_58,c1ccc2c(c1)cc1cccc3c1c2c1cccc2cc4ccccc4c3c21,1.45,
hc_c28h16_0pent_59,c1ccc2c(c1)cc1cccc3c4cccc5cc6ccccc6c(c54)c2c13,1.162,
hc_c28h16_0pent_6,c1ccc2c(c1)ccc1ccc3c4cccc5ccc6cccc(c6c54)c3c12,0.441,
hc_c28h16_0pent_60,c1ccc2c(c1)cc1c3cccc4cccc(c5cc6ccccc6c2c15)c43,0.581,
hc_c28h16_0pent_61,c1ccc2c(c1)cc1c3cccc4cccc(c43)c3c4ccccc4cc2c13,0.689,
hc_c28h16_0pent_62,c1ccc2c(c1)cc1c3cccc4cc5ccccc5c(c5cccc2c15)c43,0.756,
hc_c28h16_0pent_63,c1ccc2c(c1)cc1c3cccc4c5ccccc5cc(c5cccc2c51)c43,0.257,
hc_c28h16_0pent_64,c1ccc2c(c1)cc1c3cc4ccccc4c4cccc(c5cccc2c51)c43,0.271,
hc_c28h16_0pent_65,c1ccc2c(c1)cc1c3c2cccc3c2cccc3cc4ccccc4c1c32,0.725,
hc_c28h16_0pent_66,c1ccc2c(c1)ccc1c2cc2c3cccc4cccc(c5cccc1c52)c43,0.308,
hc_c28h16_0pent_67,c1ccc2cc3c(cc2c1)cc1c2cccc4cccc(c5cccc3c51)c42,0.453,
hc_c28h16_0pent_68,c1ccc2c(c1)ccc1cc3c4cccc5cccc(c6cccc(c12)c63)c54,0.537,
hc_c28h16_0pent_7,c1ccc2cc3c(ccc4c5cccc6ccc7cccc(c34)c7c65)cc2c1,0.466,
hc_c28h16_0pent_8,c1ccc2c(c1)ccc1c2ccc2c3cccc4ccc5cccc(c12)c5c43,0.268,
hc_c28h16_0pent_9,c1ccc2c(c1)c1ccccc1c1c3cccc4ccc5cccc(c5c43)c21,0.68,
hc_c30h14_0pent_1,c1cc2cc3ccc4cc5cccc6cc7ccc8cc(c1)c2c1c3c4c(c56)c7c81,0.74,
hc_c30h14_0pent_3,c1cc2cc3ccc4ccc5ccc6cc7cccc8c(c1)c2c1c3c4c5c6c1c78,0.427,
hc_c30h14_0pent_4,c1cc2ccc3cc4ccc5ccc6ccc7ccc8c(c1)c2c3c1c4c5c6c7c81,0,
hc_c30h16_0pent_1,c1cc2ccc3cccc4c3c2c(c1)c1c2cccc3ccc5cccc(c5c32)c41,0.792,
hc_c30h16_0pent_10,c1ccc2c(c1)ccc1cc3ccc4cc5cccc6ccc7cc(c12)c3c4c7c65,0.596,
hc_c30h16_0pent_11,c1ccc2cc3c(cc2c1)cc1ccc2cc4cccc5ccc6cc3c1c2c6c54,0.52,
hc_c30h16_0pent_12,c1ccc2c(c1)ccc1c2cc2ccc3cc4cccc5ccc6cc1c2c3c6c54,0.351,
hc_c30h16_0pent_13,c1ccc2c(c1)cc1ccc3cc4c5ccccc5cc5ccc6cc2c1c3c6c54,0.388,
hc_c30h16_0pent_14,c1ccc2c(c1)cc1cc3ccc4cc5ccccc5c5cc6ccc2c1c6c3c45,0.51,
hc_c30h16_0pent_15,c1ccc2c(c1)cc1cc3ccc4c5ccccc5cc5cc6ccc2c1c6c3c54,0.806,
hc_c30h16_0pent_16,c1ccc2c(c1)cc1cc3c4ccccc4c4cccc5cc6ccc2c1c6c3c54,0.472,
hc_c30h16_0pent_17,c1ccc2c(c1)ccc1c2cc2cc3ccc4cccc5cc6ccc1c2c6c3c45,0.477,
hc_c30h16_0pent_18,c1ccc2cc3c(cc2c1)cc1cc2ccc4cccc5cc6ccc3c1c6c2c45,0.81,
hc_c30h16_0pent_19,c1ccc2c(c1)ccc1cc3cc4ccc5cccc6cc7ccc(c12)c3c7c4c56,0.72,
hc_c30h16_0pent_20,c1ccc2c(c1)cc1ccc3cc4cccc5c6ccccc6c6cc2c1c3c6c45,0.289,
hc_c30h16_0pent_21,c1ccc2c(c1)c1cccc3cc4c5ccccc5c5cccc6cc2c(c31)c4c65,0.201,
hc_c30h16_0pent_22,c1ccc2c(c1)cc1c3ccccc3c3cc4cccc5ccc6cc2c1c3c6c54,0.282,
hc_c30h16_0pent_23,c1ccc2c(c1)cc1cc3ccc4cccc5cc6c7ccccc7c2c1c6c3c45,0.752,
hc_c30h16_0pent_24,c1ccc2c(c1)ccc1c3cc4cccc5ccc6cc7cccc(c21)c7c3c6c54,0.596,
hc_c30h16_0pent_25,c1ccc2cc3c(cc2c1)c1cccc2cc4ccc5cccc6cc3c(c21)c4c56,0.383,
hc_c30h16_0pent_26,c1ccc2c(c1)ccc1c3cccc4cc5ccc6cccc7cc(c21)c(c43)c5c67,0.585,
hc_c30h16_0pent_27,c1cc2cccc3c4cc5cc6cccc7ccc8ccc(c4cc(c1)c23)c5c8c76,0.849,
hc_c30h16_0pent_29,c1ccc2c(c1)cc1ccc3ccc4c5cccc6cccc(c7cc2c1c3c47)c65,0.47,
hc_c30h16_0pent_30,c1ccc2c(c1)cc1cc3c4cccc5cccc(c6ccc7ccc2c1c7c63)c54,0.474,
hc_c30h16_0pent_31,c1ccc2c(c1)c1cccc3cc4c5cccc6cccc(c7ccc2c(c31)c74)c65,0.336,
hc_c30h16_0pent_32,c1cc2ccc3c4ccccc4c4c5cccc6cccc(c7cc(c1)c2c3c74)c65,0.755,
hc_c30h16_0pent_33,c1ccc2c(c1)cc1cccc3c4cc5cccc6ccc7ccc(c2c13)c4c7c65,0.852,
hc_c30h16_0pent_34,c1ccc2c(c1)cc1c3ccc4ccc5cccc6cc(c7cccc2c17)c3c4c56,0.338,
hc_c30h16_0pent_35,c1ccc2c(c1)cc1c3cc4cccc5ccc6ccc(c7cccc2c71)c3c6c54,0.351,
hc_c30h16_0pent_36,c1ccc2c(c1)cc1cccc3c4ccc5ccc6cccc7cc(c2c13)c4c5c67,0.816,
hc_c30h16_0pent_38,c1cc2cccc3c4cc5ccc6ccc7cccc8cc(c4cc(c1)c23)c5c6c78,0.896,
hc_c30h16_0pent_39,c1ccc2c(c1)ccc1cc3ccc4ccc5ccc6cccc7c6c5c4c3c7c12,0.563,
hc_c30h16_0pent_40,c1ccc2cc3c(cc2c1)cc1ccc2ccc4ccc5cccc6c5c4c2c1c36,0.664,
hc_c30h16_0pent_41,c1ccc2c(c1)ccc1c2cc2ccc3ccc4ccc5cccc6c5c4c3c2c16,0.368,
hc_c30h16_0pent_42,c1ccc2c(c1)cc1ccc3ccc4ccc5cc6ccccc6c6c5c4c3c1c26,0.734,
hc_c30h16_0pent_43,c1ccc2c(c1)cc1c3cc4ccccc4c4ccc5ccc6ccc2c1c6c5c43,0.131,
hc_c30h16_0pent_44,c1ccc2c(c1)cc1c3c4ccccc4cc4ccc5ccc6ccc2c1c6c5c43,0.489,
hc_c30h16_0pent_45,c1ccc2c(c1)ccc1c2cc2c3cccc4ccc5ccc6ccc1c2c6c5c43,0.058,
hc_c30h16_0pent_46,c1ccc2cc3c(cc2c1)cc1c2cccc4ccc5ccc6ccc3c1c6c5c42,0.277,
hc_c30h16_0pent_47,c1ccc2c(c1)ccc1cc3c4cccc5ccc6ccc7ccc(c12)c3c7c6c54,0.299,
hc_c30h16_0pent_48,c1ccc2c(c1)c1cccc3c4cccc5c6ccccc6c6ccc2c(c13)c6c54,0,
hc_c30h16_0pent_49,c1ccc2c(c1)cc1c3cccc4c5ccccc5c5ccc6ccc2c1c6c5c43,0.085,
hc_c30h16_0pent_50,c1ccc2c(c1)cc1ccc3ccc4c5ccccc5c5cccc6c2c1c3c4c56,0.403,
hc_c30h16_0pent_51,c1ccc2c(c1)cc1c3ccccc3c3ccc4ccc5cccc6c5c4c3c1c26,0.386,
hc_c30h16_0pent_52,c1ccc2c(c1)cc1c3cccc4ccc5ccc6c7ccccc7c2c1c6c5c43,0.359,
hc_c30h16_0pent_53,c1ccc2c(c1)ccc1c3ccc4ccc5cccc6c7cccc(c21)c7c3c4c56,0.301,
hc_c30h16_0pent_54,c1ccc2cc3c(cc2c1)c1cccc2c4cccc5ccc6ccc3c(c12)c6c54,0.131,
hc_c30h16_0pent_55,c1ccc2c(c1)ccc1c3cccc4c5cccc6ccc7ccc(c21)c(c34)c7c65,0.3,
hc_c30h16_0pent_56,c1ccc2c(c1)cc1ccc3c4ccccc4c4ccc5cccc6c5c4c3c1c26,0.561,
hc_c30h16_0pent_57,c1ccc2c(c1)cc1c3cccc4ccc5c6ccccc6c6ccc2c1c6c5c43,0.152,
hc_c30h16_0pent_58,c1ccc2c(c1)c1cccc3c4cccc5ccc6c7ccccc7c2c(c13)c6c54,0.366,
hc_c30h16_0pent_59,c1ccc2c(c1)ccc1c3ccc4cccc5c6cccc7ccc(c21)c(c76)c3c45,0.381,
hc_c30h16_0pent_60,c1ccc2cc3c(cc2c1)c1ccc2cccc4c5cccc6ccc3c(c65)c1c24,0.289,
hc_c30h16_0pent_61,c1cc2ccc3cc4c5cccc6ccc7cccc(c4c4ccc(c1)c2c34)c7c65,0.419,
hc_c30h16_0pent_62,c1cc2ccc3cc4c(cc5ccc6cccc7ccc4c5c67)c4ccc(c1)c2c34,0.311,
hc_c30h16_0pent_63,c1cc2ccc3cc4cc5ccc6cccc7ccc(c4c4ccc(c1)c2c34)c5c67,0.582,
hc_c30h16_0pent_64,c1cc2cccc3c4ccc5c6cccc7cccc(c8ccc(c(c1)c23)c4c85)c76,0.644,
hc_c30h16_0pent_65,c1cc2ccc3c4cccc5c6cccc7cccc(c76)c(c6ccc(c1)c2c36)c54,0.742,
hc_c30h16_0pent_66,c1cc2ccc3c4ccc5cccc6c7ccccc7c(c7ccc(c1)c2c37)c4c56,0.467,
hc_c30h16_0pent_67,c1ccc2c(c1)cc1ccc3c4ccc5cccc6ccc(c7ccc2c1c37)c4c56,0.378,
hc_c32h14_0pent_1,c1cc2ccc3cc4ccc5ccc6ccc7cc8ccc1c1c2c3c2c4c5c6c7c2c81,0,
hc_c32h16_0pent_10,c1ccc2c(c1)cc1c3cccc4cc5ccc6cccc7c8ccc2c1c8c(c43)c5c67,0.421,
hc_c32h16_0pent_11,c1ccc2c(c1)c1cccc3c4cccc5cc6ccc7cccc8c7c6c(c54)c(c13)c28,0.649,
hc_c32h16_0pent_12,c1cc2cccc3c4cc5ccc6cccc7c8cccc9cc(c(c1)c23)c4c(c98)c5c67,0.473,
hc_c32h16_0pent_13,c1ccc2c(c1)cc1c3cccc4ccc5cc6ccc7cccc8c7c6c(c5c43)c1c28,0.574,
